Name,County,State
City of Cochran,cochran,texas
"City of Glen Rose,Tx",somervell,texas
"City of Ketchum, ID",blaine,idaho
City of Jemison,chilton,alabama
"Washington County, NC",washington,nebraska
The City of Baton Rouge,east baton rouge,louisiana
"City of Headland, Alabama - Government",henry,alabama
Clinton City,clinton,indiana
"City of White Sulphur Springs,WV",white,indiana
City of Kissimmee Government,osceola,florida
City of Aztec Municipal Government Offices,san juan,new mexico
City of Rolling Meadows,cook,illinois
"City of Albion, Michigan",calhoun,michigan
"City of Charlevoix, Michigan",charlevoix,michigan
Stone County Health Department,stone,mississippi
"City of Helena-Helena, Alabama",shelby,alabama
"City of Eyota, MN Government",olmsted,minnesota
"Pennington County, SD - Government Administration",pennington,minnesota
Sampson County Health Department,sampson,north carolina
City of Centralia,lewis,washington
City of Owosso Government,shiawassee,michigan
City of Keokuk,keokuk,iowa
"City of Rockwall, Texas - Municipal Government",texas,oklahoma
"City of Sachse, Texas Government",texas,oklahoma
"City of Galena, Kansas",cherokee,kansas
Ozaukee County,ozaukee,wisconsin
"City of Parkville, MO",platte,missouri
"City of Athens, Ohio - News and Information",ohio,west virginia
City of Fellsmere,indian river,florida
Harvey County Health Department,harvey,kansas
"City of North Newton, Kansas",harvey,kansas
Gasconade County Health Department,gasconade,missouri
City Of Cincinnati Government,hamilton,ohio
City of Cordova - Government,rock island,illinois
"StuartLife - The City of Stuart, Florida",martin,florida
Coos Health & Wellness,coos,oregon
Pickens County SC,pickens,south carolina
City of Stockton - Local Government,san joaquin,california
Hocking County Health Department,hocking,ohio
Lorain County Ohio Government,ohio,west virginia
Miller County Arkansas,miller,georgia
City of El Reno - Gov,reno,kansas
"City of Valdez, Alaska - Government",district 9,alaska
City of Belmont CA,belmont,ohio
Preble County Public Health,preble,ohio
Easthampton Health Department,hampshire,massachusetts
City of Nixa - Municipal Government,christian,missouri
Ontario County Public Health,ontario,new york
Hempstead County,hempstead,arkansas
"City of Prescott, WI",pierce,wisconsin
City of Attalla,etowah,alabama
Portland Housing Bureau,bureau,illinois
Lake Havasu City - Municipal Government,lake,florida
City of Cheviot,hamilton,ohio
Marion County Public Health Department,marion,iowa
"Wallace County, KS  Government",wallace,kansas
Livingston County Health Center,livingston,kentucky
City of Madison WV,madison,virginia
City of Anderson Government,anderson,south carolina
Ingham County Health Department,ingham,michigan
"City of Savannah (Savannah, MO)",andrew,missouri
City of Nacogdoches- City Government,nacogdoches,texas
Bosque County Texas,texas,oklahoma
City of Madison,madison,virginia
"Wheeler County, Oregon",wheeler,georgia
City of Fort Pierce,pierce,georgia
Marion County Missouri,marion,iowa
"Essex County, NY Public Health",essex,vermont
City of Auburn Indiana Government,indiana,pennsylvania
"City of Tucson, Arizona",pima,arizona
"City of Mountain View, Missouri",howell,missouri
Effingham County GA Board of Commissioners,effingham,illinois
"City Of Lincoln, Alabama",talladega,alabama
City of Strongsville Government,cuyahoga,ohio
"City of Glenpool, Oklahoma",oklahoma,oklahoma
City of Oroville,butte,california
"City of Marceline, Missouri",linn,missouri
Greene County Board of Commissioners,greene,new york
City of Oneonta,otsego,new york
Nevada Department of Transportation,nevada,arkansas
City of Clive,dallas,iowa
City of Grant,grant,oregon
City of Sapulpa Gov.,creek,oklahoma
Colorado Department of Transportation,colorado,texas
Indiana Department of Health,indiana,pennsylvania
City of Elizabethton - Government,carter,tennessee
City of Jackson Alabama,jackson,texas
Vinton County Health Department,vinton,ohio
"City of Gallup, New Mexico Government",mckinley,new mexico
Cedar County Public Health,cedar,missouri
Oregon Health Authority,oregon,missouri
City of Solon Ohio,ohio,west virginia
Dedham Board of Health,norfolk,massachusetts
City of Castle Hills,bexar,texas
"Todd County, Minnesota",todd,minnesota
"Cass County Sheriff's Office - Fargo, ND",cass,missouri
Hamilton County Sheriff's Office - TN,hamilton,tennessee
"The City of Carrollton, GA",carroll,georgia
"City of Clinton, Tennessee",anderson,tennessee
"City of Mount Pleasant, Texas - Government",texas,oklahoma
"City of Milford, OH",clermont,ohio
"City of Springdale, Ohio",ohio,west virginia
City of Perkins,perkins,nebraska
City of Swartz Creek,creek,oklahoma
City of Calimesa,riverside,california
City of Fennimore Mayor,grant,wisconsin
"City of Geneseo, Illinois",henry,illinois
City of Chattahoochee,chattahoochee,georgia
"Washington County, OH - Government",washington,nebraska
City of Sedona Government,coconino,arizona
The City of Bayonne,hudson,new jersey
City of Strawn Texas,texas,oklahoma
MoDOT - St. Louis,st. louis county,missouri
"City of Muskego, Wisconsin",waukesha,wisconsin
Pointe Coupee Parish Government,pointe coupee,louisiana
"City of Lexington, IL",mclean,illinois
"City of Arlington, Minnesota",sibley,minnesota
Adams County Health Department,adams,wisconsin
City of Hallsville,harrison,texas
City of South Jordan – Government,salt lake,utah
"City of Norwalk, Ohio",ohio,west virginia
City of Prairie Grove,prairie,arkansas
Wells County Government,wells,indiana
"City of Stevenson, Washington",washington,nebraska
"City of Colonial Heights, Virginia Government",colonial heights,virginia
St. Joseph County Government of Michigan,st. joseph,michigan
City of La Grange Kentucky,oldham,kentucky
SFMTA | San Francisco Municipal Transportation Agency,san francisco,california
"City of Yuba City, Local Government",yuba,california
City of Waynesville MO Municipal Government,pulaski,missouri
"City of Mayflower, Arkansas",arkansas,arkansas
"City of Forest City, IA",forest,wisconsin
Rock County Wisconsin Public Health Department,rock,wisconsin
City of Sioux Center,sioux,north dakota
"City of Cheyenne, Wyoming - Government",wyoming,new york
City of Rising Sun,ohio,indiana
"City of Murphy, Texas Government",texas,oklahoma
"City of Battle Ground, Washington - Official Government Site",washington,nebraska
"City of Highland, KS",doniphan,kansas
City of Hanahan,berkeley,south carolina
Transportation for Massachusetts,MANUALLY TAG
City of Drumright,creek,oklahoma
City of Dunkirk,chautauqua,,new york
City of Rockwell City Iowa,iowa,iowa
Walton County Government,walton,georgia
"City of Bainbridge Island, Washington",washington,nebraska
"The City of Perry, Oklahoma",oklahoma,oklahoma
Eastern Idaho Public Health,MANUALLY TAG
Winneshiek County,winneshiek,iowa
City of Orrville,wayne,ohio
City of Kings Mountain,kings,california
City of Evans,evans,georgia
Ripley County Health Department,ripley,indiana
"City of Woodland, Washington",washington,nebraska
City of Norway Michigan,dickinson,michigan
Jackson County Sheriff's Office - Oregon,jackson,texas
City of Lindsborg Government,mcpherson,kansas
"City Of Reading, PA - Government",berks,pennsylvania
City of Marlborough (Official),middlesex,massachusetts
"City of Hammond - Hammond, Louisiana",tangipahoa,louisiana
"City of Union, Oregon",oregon,missouri
Mississippi Department of Transportation,mississippi,missouri
City of Atascadero,san luis obispo,california
City of Bixby - Municipality,tulsa,oklahoma
City of Thorp,clark,wisconsin
"City of Whiting, Indiana",indiana,pennsylvania
Hamilton County Public Health,hamilton,tennessee
Cityofmoundridgekansas,mspherson,kansas
"City of Clinton, OK",custer,oklahoma
"City of Benson, Arizona",cochise,arizona
Scioto County Ohio Sheriff's Office,ohio,west virginia
"City of New Philadelphia, OH",tuscarawas,ohio
"City of Decatur, Indiana Gov't",indiana,pennsylvania
City of Loganville - Government,walton,georgia
The City of Plaquemine,plaquemines,louisiana
City of Manning,clarendon,south carolina
"City of Mounds View, MN",ramsey,minnesota
City of Carl Junction,jasper,missouri
Illinois Department of Transportation,MANUALLY TAG
"City of Clear Lake, Iowa",iowa,iowa
Mesa County Sheriff's Office,mesa,colorado
City of Los Fresnos,cameron,texas
"City of Happy Valley, Oregon",oregon,missouri
City of Angola Municipality,steuben,indiana
"City of Franklin, Indiana - Government",indiana,pennsylvania
"City of Edmond Parks and Recreation, Government",snohomish,washington
City of Walnut Ridge Arkansas,arkansas,arkansas
"City of Montgomery, Ohio Government",ohio,west virginia
"The City of Sharon, PA",mercer,pennsylvania
Cleveland County OK,cleveland,arkansas
Plumas Health & Wellness,plumas,california
Cobb & Douglas Public Health,douglas,nebraska
Stillwater County,stillwater,montana
West Bountiful City,davis,utah
City of Fort Bragg California,mendocino,california
City of North Pole,district 2,alaska
City of Bedford Kentucky,bedford,tennessee
City of Goodland,sherman,kansas
Henry County Health Center,henry,kentucky
"City of Scottsbluff, Nebraska- Government",scotts bluff,nebraska
Vermont Department of Health - Newport,newport,rhode island
City of Brush,morgan,colorado
City of Port Richey,pasco,florida
City of Hallowell,kennebec,maine
City of Asotin,asotin,washington
"Franklin County, Iowa",franklin,new york
Redding City Council,shasta,california
De Pere Health Department,brown,wisconsin
"City of Lowell, Oregon",oregon,missouri
Wallace County Health Department,wallace,kansas
"City of Rocky Mount, NC Gov. Offices",nash,north carolina
Mobile City Council,mobile,alabama
The Oneida County Health Department NY,oneida,wisconsin
City of Los Altos - City Hall,hall,georgia
Monroe City Council,monroe,west virginia
"City of Palmetto, GA",fulton,georgia
City of Gunnison,gunnison,colorado
Alleghany County,alleghany,virginia
"Riley County, KS",riley,kansas
City of Belding,ionia,michigan
"Sumner County, Tennessee",sumner,tennessee
Swift County Minnesota Government,swift,minnesota
Jones County Iowa Public Health,iowa,iowa
City of Greenwood - Mayor's Office,greenwood,kansas
City of Pittsburgh - Office of the Controller,allegheny,pennsylvania
Shenandoah County Virginia,shenandoah,virginia
City of Waseca,waseca,minnesota
Darke County Ohio,ohio,west virginia
City of Independence Minnesota,independence,arkansas
Palm Beach TPA,palm beach,florida
Madison County NC Government,madison,virginia
City of Rexburg,madison,idaho
City of Clyde Hill,hill,texas
Beaver County PA,beaver,utah
Rio Arriba County,rio arriba,new mexico
"Big Horn County, Wyoming",big horn,wyoming
City of Safford,graham,arizona
City of Canyon - Texas Government,texas,oklahoma
"Newport, City of KY",campbell,kentucky
Sutter County Public Health,sutter,california
City of Columbus-Bartholomew County Planning Department,bartholomew,indiana
Ness County Health Department,ness,kansas
"The City of Columbia City, Oregon",columbia,georgia
"City of Bloomfield Hills, MI - City Hall",hall,georgia
The City of Manchester NH,hillsborough,new hampshire
City of Imlay City,lapeer,michigan
Brunswick City Hall,hall,georgia
"City of Tallahassee, FL - Government",leon,florida
